id,gameTitle,subTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,addDate,startDate,beatDate,completeDate,gameNotes
265,Super Mario Galaxy 2,,Wii,N,Completed,37,30,5/26/2010,5/26/2010,6/5/2010,5/26/2013,
266,New Super Mario Bros. Wii,,Wii,N,Beaten,2,28,6/28/2010,6/28/2010,6/28/2010,,
267,StarCraft II: Heart of the Swarm,,BNet,N,Beaten,,,,,,,Waiting for the Void.
268,StarCraft II: Legacy of the Void,,BNet,N,Not Started,,,,,,,Haven't started.
269,StarCraft II: Wings of Liberty,,BNet,N,Beaten,,,,,,,ggwp. Definitely back into StarCraft. ^_^
270,Metroid Prime 3: Corruption,,Wii,N,Beaten,24,5,12/25/2010,12/25/2010,4/12/2013,,
271,Balloon Fight,,VCH,N,Infinite,,,,,,,
272,Donkey Kong Jr.,,VCH,N,Infinite,,,,,,,
448,Battleground Z,,3DS,Y,Beaten,,,8/30/2015,8/30/2015,11/14/2015,,"24/26 rare zombies, 21/22 tickets."
361,Bravely Default,,3DS,N,Completed,82,15,12/17/2013,2/12/2014,3/29/2014,9/7/2014,Everything.
275,Fire Emblem: The Sacred Stones,,VCH,N,Beaten,24,10,,,,,
276,F-Zero: Maximum Velocity,,VCH,N,Beaten,,,,,,,
277,Ice Climber,,VCH,N,Infinite,,,,,,,
278,Kirby & The Amazing Mirror,,VCH,N,Completed,6,20,,,,,
461,Bravely Second,,3DS,N,Beaten,66,43,4/28/2016,4/28/2016,6/12/2016,,Beastiary and adventurer.
521,Feed Mii,,3DS,Y,Started,,,10/29/2016,10/29/2016,,,"Second of two playthroughs, 4 more recipes."
281,Mario Golf,,VCH,N,Completed,5,46,,,,,
282,Mario Kart: Super Circuit,,VCH,N,Beaten,1,47,,,11/25/2012,,
283,Mario vs. Donkey Kong,,VCH,N,Beaten,4,20,,,,,
284,Mega Man,,VCH,N,Completed,2,23,,,,,
285,Metroid,,VCH,N,Beaten,5,8,,3/12/2013,3/15/2013,,
286,Metroid Fusion,,VCH,N,Beaten,10,47,,1/29/2013,2/6/2013,,
273,Find Mii,,3DS,N,Completed,,,,,,7/10/2013,Got all the helmets!
274,Find Mii 2,,3DS,N,Completed,,,,,7/10/2013,11/8/2013,"All hats! :D StreetPass games, yay! This''ll always be a classic."
289,NES Open Tournament Golf,,VCH,N,Beaten,,,,,,,
357,Fire Emblem: Awakening,,3DS,N,Beaten,33,34,11/29/2013,,6/17/2014,,Finished the game on Classic Hard.
350,Flower Town,,3DS,N,Completed,,,11/1/2013,,11/13/2013,1/15/2014,Missing about 100 colors. All plants. My 2nd favorite streetpass game. Fun!
292,Super Mario Bros.,,VCH,N,Completed,,,,,,2/6/2013,
293,The Legend of Zelda,,VCH,N,Beaten,7,11,,,,,
279,Mario & Luigi: Bowser's Inside Story,,3DS,N,Wish List,,,,,,,
295,The Legend of Zelda: The Minish Cap,,VCH,N,Beaten,13,18,,,,,
280,Mario and Donkey Kong: Minis on the Move,,3DS,N,Beaten,,,,,,,30 stars.
297,Wario Land 4,,VCH,N,Beaten,8,28,,12/7/2012,,,
298,"Wario Ware, Inc. Mega Microgame$!",,VCH,N,Beaten,,,,,,,
362,Mario Party: Island Tour,,3DS,N,Beaten,7,54,12/25/2013,12/25/2013,12/28/2013,,Traded in.
300,Wrecking Crew,,VCH,N,Infinite,,,,,,,
301,Yoshi,,VCH,N,Infinite,,,,,,,
302,Yoshi's Island: Super Mario Advance 3,,VCH,N,Beaten,7,47,,,12/21/2012,,
303,Zelda II: The Adventure of Link,,VCH,N,Beaten,7,54,,,,,
304,Asura's Wrath,,PS3,N,Beaten,,,,,,,
305,Twisted Metal,,PS3,N,Beaten,,,,,,,
306,Hexic HD,,XBLA,N,Beaten,,,11/28/2012,,,,
307,Assassin's Creed III,,360,N,Beaten,11,18,12/11/2012,12/26/2012,2/14/2013,,"I''ve never played a game like this before, and it was very, very sweet."
308,Donkey Kong Country,,SNES,N,Beaten,,,12/20/2012,,,,
309,Kirby's Avalanche,,SNES,N,Beaten,,,12/20/2012,,,,
310,Super Mario Advance: Super Mario Bros. 2,,GBA,N,Completed,,,12/20/2012,,,,
311,Super Mario Bros. 2,,NES,N,Completed,,,12/20/2012,,,,
312,Super Mario Bros. 3,,NES,N,Completed,,,12/20/2012,,,,
313,Super Mario World 2: Yoshi's Island,,SNES,N,Completed,,,12/20/2012,,,,
522,Market Crashers,,3DS,N,Mastered,,,10/29/2016,10/29/2016,1/15/2018,4/29/2018,All collectibles on 3/6/20.
315,Forza Motorsport 3,,360,N,Beaten,,,12/26/2012,,1/16/2013,,Won R1 championship. Very solid racing game. Nearly perfect...just needs more track variety. Got very stale after season 3.
316,Half-Life 2: Lost Coast,,Steam,N,Completed,,,1/29/2013,,,2/24/2013,
317,Taptiles,,WinStr,N,Beaten,,,2/5/2013,2/5/2013,2/5/2013,,
318,Zombies.,,PC,N,Infinite,,,2/8/2013,,,,
319,Superstar V8 Next Challenge,,PC,N,Infinite,,,2/14/2013,,,,
320,Mega Man 10,,XBLA,N,Beaten,,,2/17/2013,,2/17/2013,,
321,GRID,,360,N,Completed,,,3/2/2013,3/3/2013,3/10/2013,,"Legend is the final goal...Glitched achievement, GG. Completely different racing style from DiRT and Forza, but enjoyable. Not a fan of majorly glitched games, however."
322,Tetris Battle,,PC,N,Infinite,,,3/23/2013,,,,
323,DiRT 2,,Steam,N,Beaten,,,3/29/2013,,4/7/2013,,
324,Gears of War,,360,N,Beaten,,,4/1/2013,7/10/2013,7/16/2013,,"Finished the game on Casual. Man...Casual was plenty tough enough for me. XD Great game, makes me want to play the sequels..."
325,GRID 2,,360,N,Completed,28,30,4/1/2013,5/28/2013,6/5/2013,6/7/2013,Level 23 multiplayer. Other than Virgin Media Endurance on Very Hard (aka impossible) this was a very enjoyable game. Time to wait for DiRT 4!
326,Tony Hawk's Pro Skater HD,,XBLA,N,Beaten,,,4/18/2013,,4/19/2013,,
327,Trials Evolution,,XBLA,N,Completed,19,58,4/19/2013,,4/21/2013,4/24/2014,
328,Torchlight II,,Steam,N,Infinite,,,6/7/2013,6/9/2013,10/4/2013,,
329,Borderlands 2,,360,N,Completed,183,45,7/7/2013,7/12/2013,12/7/2013,1/29/2014,Level 56 Gunzerker.
330,TrackMania Nations Forever,,PC,N,Infinite,,,7/8/2013,,,,
331,Audiosurf,,PC,N,Infinite,,,7/10/2013,,,,
332,Combat Arms,,PC,N,Infinite,,,7/10/2013,,,,
333,Grand Chase,,PC,N,Beaten,,,7/10/2013,,,,
334,Gunbound Revolution,,PC,N,Infinite,,,7/10/2013,,,,
335,Kart Rider,,PC,N,Infinite,,,7/10/2013,,,,
336,Stepmania,,PC,N,Infinite,,,7/10/2013,,,,
337,Virtual Pool 2,,PC,N,Infinite,,,7/10/2013,,,,
338,Assassin's Creed II,,360,N,Beaten,10,37,7/16/2013,8/15/2013,11/4/2013,,"AC3 is better, but this was a fantastic game as well. ^_^"
339,Sonic Generations,,360,N,Beaten,5,30,7/26/2013,8/1/2013,8/2/2013,,"Fun stuff! Gonna work on completion soon. Typical Sonic game. Pretty easy to learn, hard to master. This one''s a bit generous in terms of difficulty, but extremely fun and something I look forward to playing again."
340,Crackdown,,360,N,Beaten,,,8/2/2013,,8/31/2013,,"Thanks for the help Alex! Pretty fun game, if not a bit frustrating at times."
341,Super Meat Boy,,Steam,N,Completed,,,8/4/2013,,8/5/2013,4/27/2014,
342,DOTA 2,,Steam,N,Infinite,,,8/14/2013,,,,
343,Burnout Paradise: The Ultimate Box,,Steam,N,Beaten,,,8/15/2013,8/17/2013,9/8/2013,,
344,Medal of Honor,,Steam,N,Beaten,,,8/15/2013,9/22/2013,9/24/2013,,
345,Mirror's Edge,,Steam,N,Beaten,,,8/15/2013,9/24/2013,10/5/2013,,
346,Pokemon White,,NDS,N,Beaten,45,11,8/23/2013,9/3/2013,9/18/2013,,
347,PAC-MAN Championship Edition DX+,,Steam,N,Completed,,,9/20/2013,,9/25/2013,9/27/2013,
348,Dance Dance Revolution Extreme,,PS2,N,Completed,,,9/23/2013,,9/27/2013,10/1/2013,
287,Mii Force,,3DS,N,Completed,,,,11/1/2013,11/6/2013,1/27/2014,Hard Arcade mode. Shmup with streetpasses. PERFECT.
523,Mii Trek,,3DS,Y,Beaten,,,10/29/2016,10/29/2016,4/7/2018,,69% / 54% / 60%
288,Monster Manor,,3DS,N,Completed,,,,11/1/2013,12/5/2013,3/17/2014,Thanks BB!
352,Epic Quest Table,,Steam,N,Beaten,,,11/24/2013,,11/24/2013,,
353,Marvel Pinball: Avengers Chronicles Pack,,Steam,N,Beaten,,,11/24/2013,,11/24/2013,,
354,Marvel Pinball: Original Pack,,Steam,N,Beaten,,,11/24/2013,,11/24/2013,,
355,Star Wars Pack,,Steam,N,Beaten,,,11/24/2013,,11/24/2013,,
356,Dark Souls: Prepare to Die Edition,,Steam,N,Beaten,,,11/28/2013,11/28/2013,12/8/2013,,
524,Ninja Launcher,,3DS,Y,Beaten,,,10/29/2016,10/29/2016,2/9/2018,,"Wrapping up master run, 5/12 gold medals."
358,Dust: An Elysian Tail,,Steam,N,Beaten,,,12/2/2013,4/12/2014,4/15/2014,,
359,Hearthstone: Heroes of Warcraft,,BNet,N,Infinite,,,12/3/2013,,,,
360,Borderlands: Game of the Year Edition,,Steam,N,Completed,,,12/7/2013,12/26/2013,1/31/2014,11/5/2017,
314,Paper Mario: Sticker Star,,3DS,N,Completed,29,4,12/25/2012,12/25/2012,1/1/2013,1/3/2013,8/8 super flags in 29:04! Absolute joy to play. Paper Mario strikes again!
530,Pokemon Moon,,3DS,N,Beaten,134,59,12/4/2016,12/4/2016,12/23/2016,,1st streak: two EQ misses. 2nd streak: Aurora Veil science. 3rd streak: Bruxish.
363,Valdis Story: Abyssal City,,Steam,N,Beaten,,,1/1/2014,3/12/2014,4/11/2014,,
364,TrackManiaÂ² Stadium,,Steam,N,Beaten,,,1/2/2014,1/30/2014,1/30/2014,,
365,DiRT 3,,Steam,N,Beaten,,,1/31/2014,,3/8/2014,,
366,DiRT Showdown,,Steam,N,Completed,,,1/31/2014,3/12/2014,3/12/2014,12/3/2017,
367,Lightning Returns: Final Fantasy XIII,,360,N,Beaten,22,38,1/31/2014,2/13/2014,2/18/2014,,It took 22 hours to end the world. XD
368,DDRMAX2: Dance Dance Revolution,,PS2,N,Completed,,,2/5/2014,,2/5/2014,3/7/2014,
369,RESOGUN,,PS4,N,Completed,,,2/16/2014,,2/16/2014,6/1/2014,
370,Trials Fusion,,PS4,N,Beaten,,,4/18/2014,,4/18/2014,,
371,Grand Theft Auto 2,,Steam,N,Infinite,,,4/22/2014,,,,
372,Wreckfest,,Steam,N,Completed,,,4/22/2014,11/13/2014,11/9/2019,11/10/2019,
373,Operation Flashpoint: Dragon Rising,,Steam,N,Infinite,,,4/22/2014,,,,
374,Operation Flashpoint: Red River,,Steam,N,Infinite,,,4/22/2014,,,,
375,Overlord,,Steam,N,Infinite,,,4/22/2014,,,,
376,Overlord II,,Steam,N,Infinite,,,4/22/2014,,,,
377,Stonehearth,,Steam,N,Infinite,,,4/22/2014,,,,
378,Stormrise,,Steam,N,Infinite,,,4/22/2014,,,,
379,Heroes of the Storm,,BNet,N,Infinite,,,5/12/2014,,,,
380,Plants vs. Zombies: Game of the Year Edition,,Origin,N,Beaten,,,5/12/2014,6/4/2014,6/13/2014,,
381,Diablo II,,PC,N,Beaten,,,5/19/2014,6/5/2014,6/10/2014,,
382,Bastion,,Steam,N,Beaten,,,5/28/2014,7/27/2014,7/29/2014,,
383,Diablo III,,BNet,N,Completed,,,6/2/2014,6/21/2014,7/9/2014,7/12/2014,
384,Trials Frontier,,Droid,N,Completed,,,6/20/2014,,8/7/2014,8/7/2014,
385,Peggle Deluxe,,Steam,N,Beaten,,,6/22/2014,6/25/2014,6/25/2014,,
386,Peggle Nights,,Steam,N,Beaten,,,6/22/2014,6/25/2014,7/4/2014,,
387,Pokemon Trading Card Game Online,,PC,N,Infinite,,,6/25/2014,,,,
388,Rise of the Argonauts,,Steam,N,Infinite,,,7/3/2014,,,,
389,Chrono Cross,,PS,N,Started,,,8/20/2014,,,,
390,Devil May Cry 3,,PS2,N,Started,6,26,8/20/2014,,,,
391,Final Fantasy Tactics,,PS,N,Beaten,24,54,8/20/2014,,10/30/2015,,
392,Star Wars: Knights of the Old Republic,,Steam,N,Started,,,8/20/2014,,,,
393,The Elder Scrolls V: Skyrim,,Steam,N,Beaten,,,8/20/2014,9/1/2018,9/28/2018,,
394,FEZ,,PS4,N,Beaten,,,8/21/2014,,8/26/2014,,
395,Bloodborne,,PS4,N,Started,,,,11/14/2015,,,
396,Code Vein,,PS4,N,Wish List,,,,,,,
397,Final Fantasy VII,,PS4,N,Wish List,,,,,,,
398,I Am Setsuna,,PS4,N,Not Started,,,6/7/2019,,,,
399,Kingdom Hearts III,,XB1,Y,Beaten,,,11/24/2019,43958,43961,,
400,Naruto to Boruto: Shinobi Striker,,PS4,N,Wish List,,,,,,,
401,Ni no Kuni II,,PS4,N,Not Started,,,6/7/2019,,,,
402,Overwatch,,PS4,N,Infinite,,,,,,,
403,Shenmue III,,PS4,N,Wish List,,,,,,,
404,Spider-Man,,PS4,N,Not Started,,,6/7/2019,,,,
405,Star Ocean: Integrity and Faithlessness,,PS4,N,Wish List,,,,,,,
406,Destiny,,PS4,N,Beaten,,,9/11/2014,,9/16/2014,,
407,Crypt of the NecroDancer,,Steam,N,Started,,,9/27/2014,3/18/2015,,,
290,Pokemon Omega Ruby,,3DS,N,Beaten,26,57,,12/2/2014,4/4/2015,,Battle Resort! Champion in 17:00!
409,DRIVECLUB,,PS4,N,Completed,,,10/7/2014,10/11/2014,10/12/2014,12/4/2014,
410,Gauntlet,,Steam,N,Not Started,,,11/13/2014,,,,
411,Injustice: Gods Among Us Ultimate Edition,,Steam,N,Not Started,,,11/13/2014,,,,
412,Final Fantasy XIV: A Realm Reborn,,Steam,N,Infinite,,,11/16/2014,,,,
413,Grid Autosport,,Steam,N,Beaten,,,11/29/2014,12/2/2014,2/12/2017,,
414,Peggle 2,,PS4,N,Completed,,,12/27/2014,12/27/2014,12/31/2014,1/2/2016,
415,Lara Croft and the Temple of Osiris,,PS4,N,Beaten,,,12/31/2014,,7/28/2015,,
349,Pokemon Y,,3DS,N,Beaten,158,36,10/1/2013,10/12/2013,10/14/2013,,"Inspired by the World Championships...28/50 in a row is my best so far. Kalos Champion in 31:21! Honestly, I never thought I''d play a game like Silver again. That perfect, polished feeling. The level curve could have been more challenging, but in the end, the multiplayer additions more than make up for it."
417,Borderlands 2,,PS4,N,Completed,,,3/31/2015,3/31/2015,10/27/2015,11/14/2015,
418,Borderlands: The Pre-Sequel,,PS4,N,Completed,,,3/31/2015,,10/18/2015,1/31/2016,
419,Final Fantasy Type-0 HD,,PS4,N,Completed,,,3/31/2015,6/4/2015,12/29/2015,12/29/2015,
420,Jet Set Radio,,Steam,N,Beaten,,,4/11/2015,4/11/2015,10/16/2015,,
421,Valkyria Chronicles,,Steam,N,Not Started,,,5/25/2015,,,,
422,Tales from the Borderlands,,Steam,N,Completed,,,6/11/2015,10/18/2015,10/18/2015,10/24/2015,
423,A Story About My Uncle,,Steam,N,Not Started,,,7/12/2015,,,,
424,Antichamber,,Steam,N,Completed,,,7/12/2015,7/12/2015,7/12/2015,7/12/2015,
425,Brothers - A Tale of Two Sons,,Steam,N,Not Started,,,7/12/2015,,,,
426,Darksiders,,Steam,N,Not Started,,,7/12/2015,,,,
427,Darksiders II,,Steam,N,Not Started,,,7/12/2015,,,,
428,Dragon Age: Origins - Ultimate Edition,,Steam,N,Not Started,,,7/12/2015,,,,
429,Epic Battle Fantasy 4,,Steam,N,Started,,,7/12/2015,10/16/2015,,,
430,FEZ,,Steam,N,Not Started,,,7/12/2015,,,,
431,Freedom Planet,,Steam,N,Started,,,7/12/2015,10/16/2015,,,
432,Hero Siege,,Steam,N,Not Started,,,7/12/2015,,,,
433,Ikaruga,,Steam,N,Not Started,,,7/12/2015,,,,
434,Magicite,,Steam,N,Not Started,,,7/12/2015,,,,
435,Need for Speed: Hot Pursuit,,Steam,N,Beaten,,,7/12/2015,10/31/2015,10/31/2015,,
436,One Finger Death Punch,,Steam,N,Not Started,,,7/12/2015,,,,
437,Risk of Rain,,Steam,N,Not Started,,,7/12/2015,,,,
438,Robot Roller-Derby Disco Dodgeball,,Steam,N,Not Started,,,7/12/2015,,,,
439,RollerCoaster Tycoon 3: Platinum!,,Steam,N,Not Started,,,7/12/2015,,,,
440,Screencheat,,Steam,N,Not Started,,,7/12/2015,,,,
441,Shadowrun Returns,,Steam,N,Not Started,,,7/12/2015,,,,
442,Shadowrun: Dragonfall - Director's Cut,,Steam,N,Not Started,,,7/12/2015,,,,
443,The Legend of Korra,,Steam,N,Beaten,,,7/12/2015,7/26/2015,7/26/2015,,
444,Transistor,,Steam,N,Not Started,,,7/12/2015,,,,
445,Trine 2,,Steam,N,Not Started,,,7/12/2015,,,,
446,Ys Origin,,Steam,N,Not Started,,,7/12/2015,,,,
447,Rocket League,,PS4,N,Completed,,,8/11/2015,8/11/2015,8/11/2015,8/11/2015,
291,Puzzle Swap,,3DS,N,Completed,188,,,,7/10/2013,11/13/2013,929/929.
525,Slot Car Rivals,,3DS,N,Completed,,,10/29/2016,10/29/2016,1/19/2018,4/13/2018,S99
450,Mighty Gunvolt,,Steam,N,Not Started,,,9/1/2015,,,,
451,Star Wars Battlefront,,PS4,N,Completed,,,11/14/2015,11/14/2015,11/21/2015,12/13/2015,
452,Dragon Age: Inquisition,,PS4,N,Not Started,,,12/2/2015,,,,
453,Gauntlet: Slayer Edition,,PS4,N,Completed,,,12/9/2015,12/9/2015,12/13/2015,12/23/2015,
454,Sportsfriends,,PS4,N,Completed,,,12/19/2015,12/19/2015,12/19/2015,12/23/2015,
455,DRIVECLUB BIKES,,PS4,N,Completed,,,12/27/2015,12/27/2015,12/31/2015,1/1/2016,
456,ibb & obb,,Steam,N,Beaten,,,1/1/2016,1/1/2016,1/6/2016,,
457,Dark Souls II: Scholar of the First Sin,,PS4,N,Not Started,,,1/2/2016,,,,
458,Orcs Must Die! 2,,Steam,N,Beaten,,,1/7/2016,1/7/2016,1/17/2016,,
459,Need for Speed,,PS4,N,Completed,,,2/5/2016,2/20/2016,2/21/2016,2/24/2016,
460,Project Cars,,PS4,N,Completed,,,2/5/2016,2/5/2016,3/21/2017,1/11/2018,
408,Super Smash Bros. for Nintendo 3DS,,3DS,N,Beaten,9,32,10/2/2014,,10/7/2014,,Almost done with Challenges page 2.
462,Mega Man Legacy Collection,,PS4,N,Not Started,,,6/14/2016,,,,
463,Need for Speed Rivals,,PS4,N,Completed,,,6/14/2016,10/29/2016,10/29/2016,10/30/2016,
464,Rayman Legends,,PS4,N,Not Started,,,6/14/2016,,,,
465,Tales of Zestiria,,PS4,N,Infinite,,,6/14/2016,9/22/2017,,,
466,DLC Quest,,Steam,N,Beaten,,,6/29/2016,6/29/2016,7/3/2016,,
467,Mario Tennis,,VC,N,Completed,92,13,7/20/2016,7/20/2016,7/20/2016,7/21/2016,
468,Mighty No. 9,,Steam,N,Not Started,,,9/19/2016,,,,
469,1001 Spikes,,Steam,N,Not Started,,,9/28/2016,,,,
470,6180 the moon,,Steam,N,Not Started,,,9/28/2016,,,,
471,Big Pharma,,Steam,N,Not Started,,,9/28/2016,,,,
472,CastleStorm,,Steam,N,Not Started,,,9/28/2016,,,,
473,Chaos Reborn,,Steam,N,Not Started,,,9/28/2016,,,,
474,Chariot,,Steam,N,Not Started,,,9/28/2016,,,,
475,Cloudbuilt,,Steam,N,Not Started,,,9/28/2016,,,,
476,Darksiders II: Deathinitive Edition,,Steam,N,Not Started,,,9/28/2016,,,,
477,DeadCore,,Steam,N,Not Started,,,9/28/2016,,,,
478,Downwell,,Steam,N,Not Started,,,9/28/2016,,,,
479,EDGE,,Steam,N,Not Started,,,9/28/2016,,,,
480,Electronic Super Joy,,Steam,N,Not Started,,,9/28/2016,,,,
481,Fairy Fencer F,,Steam,N,Not Started,,,9/28/2016,,,,
482,Frozen Cortex,,Steam,N,Not Started,,,9/28/2016,,,,
483,Frozen Synapse,,Steam,N,Not Started,,,9/28/2016,,,,
484,Full Bore,,Steam,N,Not Started,,,9/28/2016,,,,
485,Geometry Dash,,Steam,N,Not Started,,,9/28/2016,,,,
486,Gurumin: A Monstrous Adventure,,Steam,N,Not Started,,,9/28/2016,,,,
487,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,,Steam,N,Not Started,,,9/28/2016,,,,
488,Half Minute Hero: The Second Coming,,Steam,N,Not Started,,,9/28/2016,,,,
